surgery,age,rectal temperature,pulse,respiratory rate,temperature of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,surgical lesion,site1,type1,subtype1,special code1,site2,type2,subtype2,special code2,site3,type3,subtype3,special code3,cp_data,outcome
0,1,38.5,66,28,3,3,2.853754941,2,5,4,4,1.755102041,1.582474227,4.70754717,3,5,45,8.4,2.037037037,3.019607843,2,11,3,0,0,0,0,0,0,0,0,0,0,2,2
1,1,39.2,88,20,2.348360656,2.017316017,4,1,3,4,2,1.755102041,1.582474227,4.70754717,4,2,50,85,2,2,2,2,2,0,8,0,0,0,0,0,0,0,0,2,3
0,1,38.3,40,24,1,1,3,1,3,3,1,1.755102041,1.582474227,4.70754717,1,1,33,6.7,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,39.1,164,84,4,1,6,2,2,4,4,1,2,5,3,3.692307692,48,7.2,3,5.3,1,2,2,0,8,0,0,0,0,0,0,0,0,1,2
0,1,37.3,104,35,2.348360656,2.017316017,6,2,2.951020408,2.91796875,2.266393443,1.755102041,1.582474227,4.70754717,2.757575758,3.692307692,74,7.4,2.037037037,3.019607843,2,4,3,0,0,0,0,0,0,0,0,0,0,2,2
0,1,38.16791667,71.91304348,30.41735537,2,1,3,1,2,3,2,2,1,4.70754717,3,3,46.29520295,24.45692884,2.037037037,3.019607843,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,37.9,48,16,1,1,1,1,3,3,3,1,1,4.70754717,3,5,37,7,2.037037037,3.019607843,1,3,1,2,4,0,0,0,0,0,0,0,0,2,1
1,1,38.16791667,60,30.41735537,3,2.017316017,2.853754941,1,2.951020408,4,2,2,1,4.70754717,3,4,44,8.3,2.037037037,3.019607843,1,2,2,0,8,0,0,0,0,0,0,0,0,2,2
0,1,38.16791667,80,36,3,4,3,1,4,4,4,2,1,4.70754717,3,5,38,6.2,2.037037037,3.019607843,1,3,2,0,5,0,0,0,0,0,0,0,0,2,3
0,0,38.3,90,30.41735537,1,2.017316017,1,1,5,3,1,2,1,4.70754717,3,3.692307692,40,6.2,1,2.2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,38.1,66,12,3,3,5,1,3,3,1,2,1,3,2,5,44,6,2,3.6,1,2,1,2,4,0,0,0,0,0,0,0,0,1,1
0,1,39.1,72,52,2,2.017316017,2,1,2,1,2,1,1,4.70754717,4,4,50,7.8,2.037037037,3.019607843,1,2,1,1,1,0,0,0,0,0,0,0,0,2,1
